from,to,contract_address,value,evt_block_time,evt_tx_hash,Token Price (USD),Symbol,decimal,Token Liquidity (Top 20 LPs),Type,From Entity,From Context,To Entity,To Context
0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x514910771af9ca656af840dff83e8264ecf986ca,2838803456091752066250,2023-05-01 00:26:47.000 UTC,0x87202efded29bbff018be1eca62a77ef2417187cba0876430ba0e656001adcc3,6.6,LINK,18.0,25388039.778178975,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,375630639652,2023-05-01 00:28:35.000 UTC,0x63777c60e4b34c9608245effa50671b831c317463ad88087d3899df01661869c,0.999914,USDC,6.0,1140350724.3129728,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,199441529875597064712,2023-05-01 00:28:35.000 UTC,0x63777c60e4b34c9608245effa50671b831c317463ad88087d3899df01661869c,1846.75,WETH,18.0,476286796.9523346,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x60594a405d53811d3bc4766596efd80fd545a270,0x6b175474e89094c44da98b954eedeac495271d0f,30176040871363734176619,2023-05-01 00:28:35.000 UTC,0x0598e992b9568897f8545fb6649e2d3626a375086fd52e8fbd41f44eb5b07396,1.0,DAI,18.0,698573224.0174431,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0x60594a405d53811d3bc4766596efd80fd545a270,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,16022789472469016409,2023-05-01 00:28:35.000 UTC,0x0598e992b9568897f8545fb6649e2d3626a375086fd52e8fbd41f44eb5b07396,1846.75,WETH,18.0,476286796.9523346,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x11b815efb8f581194ae79006d24e0d814b7697f6,0xdac17f958d2ee523a2206206994597c13d831ec7,116602785849,2023-05-01 00:28:35.000 UTC,0x56e664370899c8df5e836929ca1bbe8d276df7ef54cbeb4ece26c9ba4a798a68,1.001,USDT,6.0,939835820.9434662,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0x11b815efb8f581194ae79006d24e0d814b7697f6,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,61933759185433013265,2023-05-01 00:28:35.000 UTC,0x56e664370899c8df5e836929ca1bbe8d276df7ef54cbeb4ece26c9ba4a798a68,1846.75,WETH,18.0,476286796.9523346,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11310433116435496099,2023-05-01 00:28:59.000 UTC,0xa735f1434913611cd3ca9502c1ed13a70d8204c75af0d904987eade06bcfd41a,1846.75,WETH,18.0,476286796.9523346,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x514910771af9ca656af840dff83e8264ecf986ca,3012575955162373341123,2023-05-01 00:28:59.000 UTC,0xa735f1434913611cd3ca9502c1ed13a70d8204c75af0d904987eade06bcfd41a,6.6,LINK,18.0,25388039.778178975,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x28c6c06298d514db089934071355e5743bf21d60,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,21818180000000000000,2023-05-01 00:29:11.000 UTC,0x0bc550fc10775be91b01edc9f3e62b63f439b2172decd6adf361efaf7a82dd9e,1846.75,ETH,18.0,476286796.9523346,Buy,,,Jump,None
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,425750000000000000000,2023-05-01 00:29:11.000 UTC,0xec60847ed85ea29497189db8cafdcd9435f8cd7fb2940bfa871ad2ef1be5e1cd,1846.75,WETH,18.0,476286796.9523346,Tracked Wallet Buy & Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,Jump,None
0xcad621da75a66c7a8f4ff86d30a2bf981bfc8fdd,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,45665000000000000000,2023-05-01 00:29:23.000 UTC,0x166a611091731bb6218e4d08e6a0dfe54665366bed089e630d5fca35c3cb7a9b,1846.75,ETH,18.0,476286796.9523346,Buy,,,Jump,None
0x4f1a5a5d258522254933a6da9648c57fe230d17e,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,498229590000,2023-05-01 00:29:59.000 UTC,0xc9979f288855a9be7ffc3eba4374fee34f6d0ae7e30f3526f3889a0bf5ff1733,0.999914,USDC,6.0,1140350724.3129728,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x28c6c06298d514db089934071355e5743bf21d60,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xdac17f958d2ee523a2206206994597c13d831ec7,765851160000,2023-05-01 00:31:47.000 UTC,0xdfff4d251559947a0764d4356f8c1ae39b14e1f6ea2955e5628e7b87aa483f5a,1.001,USDT,6.0,939835820.9434662,Buy,,,Jump,None
0xf89d7b9c864f589bbf53a82105107622b35eaa40,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xdac17f958d2ee523a2206206994597c13d831ec7,5917729900,2023-05-01 00:31:59.000 UTC,0x21d63c365142011e76bd2fc19c9f2be3632180c36326d2bf261be3a78a345db0,1.001,USDT,6.0,939835820.9434662,Buy,,,Jump,None
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,79985540236,2023-05-01 00:37:35.000 UTC,0x593d4af1a5b029423a06d245def1be58f3bbe84a609893528b471f10efbbeac9,0.999914,USDC,6.0,1140350724.3129728,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,42435122491443464022,2023-05-01 00:37:35.000 UTC,0x593d4af1a5b029423a06d245def1be58f3bbe84a609893528b471f10efbbeac9,1846.75,WETH,18.0,476286796.9523346,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,455616180000,2023-05-01 00:42:47.000 UTC,0xd02fe93448efd715d1236dddd14be3649de117cb3b0357892df5d3443da15304,0.999914,USDC,6.0,1140350724.3129728,Tracked Wallet Buy & Sell,Jump,None,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x514910771af9ca656af840dff83e8264ecf986ca,851370000000000000000,2023-05-01 00:42:59.000 UTC,0xc3289a8edf0de8b6d2f2b11ab9468e94e3951fa659f68e456a7f0cc6616b930a,6.6,LINK,18.0,25388039.778178975,Tracked Wallet Buy & Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,Jump,None
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0xdac17f958d2ee523a2206206994597c13d831ec7,69440611414,2023-05-01 00:43:59.000 UTC,0x8246369c73e1e3dbd7af54efb3ec23082507056faafbb3705899946f2989c219,1.001,USDT,6.0,939835820.9434662,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,36844437104642677088,2023-05-01 00:43:59.000 UTC,0x8246369c73e1e3dbd7af54efb3ec23082507056faafbb3705899946f2989c219,1846.75,WETH,18.0,476286796.9523346,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x11b815efb8f581194ae79006d24e0d814b7697f6,0xdac17f958d2ee523a2206206994597c13d831ec7,73499983711,2023-05-01 00:43:59.000 UTC,0x35fc0a851e5eba7ed6c73cd395beecc29a4457d44bb6168106a541efcde21433,1.001,USDT,6.0,939835820.9434662,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0x11b815efb8f581194ae79006d24e0d814b7697f6,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,38999480680895122685,2023-05-01 00:43:59.000 UTC,0x35fc0a851e5eba7ed6c73cd395beecc29a4457d44bb6168106a541efcde21433,1846.75,WETH,18.0,476286796.9523346,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,696222699,2023-05-01 00:43:59.000 UTC,0x0e5a81b31e394da9e6aa11d1496023e4d27ed61f548c03b693c9d1839ffcb81f,27628.0,WBTC,8.0,688599467.2829709,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,108242019591488982724,2023-05-01 00:43:59.000 UTC,0x0e5a81b31e394da9e6aa11d1496023e4d27ed61f548c03b693c9d1839ffcb81f,1846.75,WETH,18.0,476286796.9523346,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,143852678339,2023-05-01 00:43:59.000 UTC,0x8889602da06a46a6a7e74fbb26935708ee3b25bffb8984b8c76997e3f3035aad,0.999914,USDC,6.0,1140350724.3129728,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
