id,category,name,address,symbol,tvl,mcap,slug,7dma_%,1mma_%,Volume_7d_%,Volume_1m_%
2529,Dexes,PancakeSwap StableSwap,bsc:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,65217297.46691002,,pancakeswap-stableswap,-0.012231815223607279,-0.030924358367527716,63.03,-57.32
2239,Dexes,Quickswap V3,polygon:0xb5c064f955d8e7f38fe0460c556a72987494ee17,QUICK,65019737.50359454,,quickswap-v3,-0.0016555799408887184,0.0019071528925520553,-5.3,0.55
382,Yield,Pendle,0x808507121b80c02388fad14726482e061b8da827,PENDLE,64595590.02711758,44498194.332428545,pendle,0.010308645393234839,0.011679396133465803,,
172,Indexes,Index Coop,0x0954906da0Bf32d5479e25f46056d22f08464cab,INDEX,62845931.16141771,11858500.8204453,index-coop,-0.0026966607095542106,-0.0023242944240385865,,
243,Yield Aggregator,Flamincome,0x57dD84042ec9507963016596A34EdaD42F7e4CCE ,FLAG,62439020.587355115,,flamincome,0.001555886410362639,-5.920714403429006e-05,,
951,Dexes,4Swap,,-,62029272.56,,4swap,0.0006094548711248482,-0.0009315943793087866,61.45,28.08
2654,Staking,ParaSpace APE Staking,,-,61799118.4409189,,paraspace-ape-staking,0.01591276669059183,0.011582461293312418,,
2038,CDP,Helio Protocol,bsc:0x0782b6d8c4551B9760e74c0545a9bCD90bdc41E5,HAY,61125229.81796144,39464365.931116916,helio-protocol,0.0002024011967476369,-0.0009923773187068274,,
2311,CEX,CoinDCX,,-,60481437.19131944,,coindcx,-0.0005419837774701675,-0.0013853181426081163,,
2205,CDP,Pando Leaf,,-,60253194.067337,,pando-leaf,0.0027478187511187357,-0.001563669874683371,,
1453,Lending,EOS REX,eos:eos,EOS,59999304.0655052,1118949762.9245176,eos-rex,-0.0046999257418172125,-0.005240162344689825,,
249,Yield,StakeDAO,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,SDT,59176726.35806835,21969288.43899955,stakedao,-0.010415411067529079,-0.002298907578478615,,
